country,clf,feat_set,inc,auc_score,N,N_p,N_n
BA,CART,inc-only,5,0.7237286324786324,1108,63,1045
BA,CART,inc-only,6,0.7116239316239317,1108,63,1045
BA,CART,inc-only,7,0.7434737484737485,1108,63,1045
BA,CART,inc-only,8,0.7937240537240537,1108,63,1045
BA,CART,appended,1,0.6237408424908424,1108,63,1045
BA,CART,appended,2,0.7239789377289376,1108,63,1045
BA,CART,appended,3,0.6887362637362637,1108,63,1045
BA,CART,appended,4,0.743264652014652,1108,63,1045
BA,CART,appended,5,0.7251831501831502,1108,63,1045
BA,CART,appended,6,0.8066300366300365,1108,63,1045
BA,CART,appended,7,0.7675686813186813,1108,63,1045
BA,CART,appended,8,0.8468589743589744,1108,63,1045
BA,RF,inc-only,1,0.9245299145299145,1108,63,1045
BA,RF,inc-only,2,0.8960645604395605,1108,63,1045
BA,RF,inc-only,3,0.9273763736263736,1108,63,1045
BA,RF,inc-only,4,0.9590155677655677,1108,63,1045
BA,RF,inc-only,5,0.9463759157509157,1108,63,1045
BA,RF,inc-only,6,0.9403655372405373,1108,63,1045
BA,RF,inc-only,7,0.9178388278388279,1108,63,1045
BA,RF,inc-only,8,0.939860347985348,1108,63,1045
BA,RF,appended,1,0.9253991147741147,1108,63,1045
BA,RF,appended,2,0.939945054945055,1108,63,1045
BA,RF,appended,3,0.955103021978022,1108,63,1045
BA,RF,appended,4,0.9663377594627595,1108,63,1045
BA,RF,appended,5,0.9741391941391941,1108,63,1045
BA,RF,appended,6,0.9719734432234433,1108,63,1045
BA,RF,appended,7,0.9823595848595849,1108,63,1045
BA,RF,appended,8,0.9855616605616605,1108,63,1045
BA,XGB,inc-only,1,0.8999572649572649,1108,63,1045
BA,XGB,inc-only,2,0.8731997863247863,1108,63,1045
BA,XGB,inc-only,3,0.9009966422466422,1108,63,1045
BA,XGB,inc-only,4,0.9579700854700854,1108,63,1045
BA,XGB,inc-only,5,0.932100122100122,1108,63,1045
BA,XGB,inc-only,6,0.9231051587301587,1108,63,1045
BA,XGB,inc-only,7,0.9130151098901098,1108,63,1045
BA,XGB,inc-only,8,0.945727258852259,1108,63,1045
BA,XGB,appended,1,0.9033188339438339,1108,63,1045
BA,XGB,appended,2,0.9286889499389499,1108,63,1045
BA,XGB,appended,3,0.9401709401709402,1108,63,1045
BA,XGB,appended,4,0.9532173382173381,1108,63,1045
BA,XGB,appended,5,0.9569551282051282,1108,63,1045
BA,XGB,appended,6,0.9646047008547008,1108,63,1045
BA,XGB,appended,7,0.9804792429792429,1108,63,1045
BA,XGB,appended,8,0.9771886446886446,1108,63,1045
BD,CART,inc-only,1,0.5933440968235745,4186,157,4029
BD,CART,inc-only,2,0.666049131667963,4186,157,4029
BD,CART,inc-only,3,0.6274973766403713,4186,157,4029
BD,CART,inc-only,4,0.7394868361356987,4186,157,4029
BD,CART,inc-only,5,0.6748035489426317,4186,157,4029
BD,CART,inc-only,6,0.7644873762391516,4186,157,4029
BD,CART,inc-only,7,0.7210292134241941,4186,157,4029
BD,CART,inc-only,8,0.786782125353382,4186,157,4029
BD,CART,appended,1,0.5722134172499784,4186,157,4029
BD,CART,appended,2,0.6586293100255546,4186,157,4029
BD,CART,appended,3,0.6511038634371566,4186,157,4029
BD,CART,appended,4,0.7852650133328395,4186,157,4029
BD,CART,appended,5,0.7473284940063949,4186,157,4029
BD,CART,appended,6,0.7585027290655901,4186,157,4029
BD,CART,appended,7,0.7877183792575584,4186,157,4029
BD,CART,appended,8,0.7663329714640199,4186,157,4029
BD,RF,inc-only,1,0.8628350956137427,4186,157,4029
BD,RF,inc-only,2,0.912438003839364,4186,157,4029
